filepath,true_label,true_class,pred_label,pred_class,max_prob,correct
train/train\Картофель\127\0f1d789112b24c5ca9e7af0996d81d1d.jpg,5,Картофель,8,Лук,0.9879,False
train/train\Лук\197\6241e259476b4c01bbcb4d9d27849ec9.jpg,8,Лук,5,Картофель,0.9873,False
train/train\Киви\78647\d1a539fe90b44e20af61567c2252f3b4.jpg,6,Киви,5,Картофель,0.9859,False
train/train\Капуста\48655\90473ee2ac704084b3fedf85e828f8a4.jpg,4,Капуста,11,Огурцы,0.9848,False
train/train\Яблоки красные\807\a8e2e6095d5f4009845ff5f2dbef51d4.jpg,14,Яблоки красные,8,Лук,0.983,False
train/train\Картофель\3093966\83439f6da98b409aa185d1ffe3620932.jpg,5,Картофель,2,Груши,0.9823,False
train/train\Мандарины\34592\549385dfc61c419e8a09fdfc2e701248.jpg,9,Мандарины,0,Апельсин,0.9812,False
train/train\Картофель\3953590\69a15aa93c4b4e37ba3c08c35fc640a5.jpg,5,Картофель,8,Лук,0.9808,False
train/train\Киви\78647\67f1d1b5ccdd418d87b14ed90e7ccbf6.jpg,6,Киви,10,Морковь,0.9797,False
train/train\Груши\50911\d430b571cbaa40b2bc5b802754344631.jpg,2,Груши,6,Киви,0.9795,False
train/train\Огурцы\4314547\1ee9bae0e9604050947e07ed7b03d913.jpg,11,Огурцы,5,Картофель,0.9778,False
train/train\Апельсин\60526\ea481855cf5f48e4877ebc47d968bac8.jpg,0,Апельсин,9,Мандарины,0.9763,False
train/train\Мандарины\34592\702b42c75dc8456ea8232bfe3cdd7506.jpg,9,Мандарины,12,Томаты,0.976,False
train/train\Лук\197\2ba86781b2094d6d85cbeaac6e9faf6e.jpg,8,Лук,2,Груши,0.9755,False
train/train\Морковь\2138999\42735167570b4e939c89a5e03df3c5d4.jpg,10,Морковь,5,Картофель,0.9752,False
train/train\Морковь\2138999\49ac17d48cc547098f7fd1a4dd2efc4a.jpg,10,Морковь,5,Картофель,0.9744,False
train/train\Мандарины\47642\550c2556dc994feba07612a867f24d70.jpg,9,Мандарины,0,Апельсин,0.9725,False
train/train\Томаты\202\63f2ad57b4974f5ba771803e1075d375.jpg,12,Томаты,9,Мандарины,0.9723,False
train/train\Груши\50911\803c8f1f3cdb4674ace0495872332f1f.jpg,2,Груши,6,Киви,0.9719,False
train/train\Лимон\3294954\89b8c526b0c0455da525285a310726bc.jpg,7,Лимон,0,Апельсин,0.9666,False
train/train\Лук\197\de731c0a5e12429f9e45beadf562b2a9.jpg,8,Лук,14,Яблоки красные,0.9661,False
train/train\Картофель\3093966\61b74c2774fa4ee19fe98718854f0dee.jpg,5,Картофель,2,Груши,0.9643,False
train/train\Яблоки красные\807\7b81ff2d6a154a61970debc13ca0c8af.jpg,14,Яблоки красные,12,Томаты,0.9576,False
train/train\Яблоки красные\807\caefa5ee64624e628f59a92608562e24.jpg,14,Яблоки красные,13,Яблоки зелёные,0.9536,False
train/train\Огурцы\4314547\0cd3c805855a42c78241b5396a297761.jpg,11,Огурцы,5,Картофель,0.9525,False
train/train\Морковь\2138999\ed782464ba0f41c394921c7020b4e7fa.jpg,10,Морковь,5,Картофель,0.9486,False
train/train\Томаты\4221768\3cc9f1685d614e46bd7c6c3b7d4216e4.jpg,12,Томаты,5,Картофель,0.9296,False
train/train\Кабачки\3965\6bfb06f7cc79467e9ca15651364765d2.jpg,3,Кабачки,13,Яблоки зелёные,0.923,False
train/train\Морковь\2138999\e9e4b223fb2e4b8a8e0a55aaa11f8247.jpg,10,Морковь,5,Картофель,0.9217,False
train/train\Яблоки зелёные\5793\852130b69db445d9a2b3c85729556988.jpg,13,Яблоки зелёные,3,Кабачки,0.9127,False
train/train\Яблоки красные\807\d6d54e90e5c54288a49a431cb04f483e.jpg,14,Яблоки красные,8,Лук,0.9125,False
train/train\Картофель\3953590\99a830267bcf4caba25bf7ad3c01b70e.jpg,5,Картофель,10,Морковь,0.8775,False
train/train\Лук\197\6ae33c6df2f2471bbafb2363c47da018.jpg,8,Лук,12,Томаты,0.8644,False
train/train\Капуста\48655\f024a506c6d84b6c9a766a3d82f42956.jpg,4,Капуста,11,Огурцы,0.8486,False
train/train\Яблоки красные\609\2ff0208a3f5a4298a3ccb5c1f216666d.jpg,14,Яблоки красные,10,Морковь,0.8062,False
train/train\Мандарины\53235\5a1c8807592849198873af9910a4403f.jpg,9,Мандарины,0,Апельсин,0.7777,False
train/train\Лук\197\9c1f021ba8dd43c2b5b7766b6698e4c2.jpg,8,Лук,6,Киви,0.7717,False
train/train\Морковь\2138999\59f0bcda040441b1aa4a6df259a89056.jpg,10,Морковь,5,Картофель,0.7562,False
train/train\Лук\197\b6499e5cd8e543ccbe9bb9dfa99735c8.jpg,8,Лук,12,Томаты,0.7346,False
train/train\Картофель\3953590\e4ae1d720b3044c39d5ca2be8acd445c.jpg,5,Картофель,2,Груши,0.7016,False
train/train\Апельсин\60526\192ae4a5f5394e8595b323dd93ffb2c5.jpg,0,Апельсин,8,Лук,0.6998,False
train/train\Лук\197\7a39611d04f846858da098d65ba88e8f.jpg,8,Лук,2,Груши,0.6894,False
train/train\Мандарины\47642\de525742a10d43099e4c310a8f38b37c.jpg,9,Мандарины,0,Апельсин,0.641,False
train/train\Бананы\3021692\b26da97e8c92402397c03df7ea44e7e3.jpg,1,Бананы,2,Груши,0.5933,False
train/train\Картофель\3953590\4bf54b63f52745289e07f3abbdd60b39.jpg,5,Картофель,6,Киви,0.5801,False
train/train\Апельсин\60526\3269fa5686344312a27c60a312c838e4.jpg,0,Апельсин,10,Морковь,0.5745,False
train/train\Картофель\3953590\c94a029c10e74d159f423c095b55a437.jpg,5,Картофель,6,Киви,0.5716,False
train/train\Картофель\3953590\56da9f2523ee41b29f25cc082392c428.jpg,5,Картофель,6,Киви,0.5651,False
train/train\Апельсин\60526\770602dcf55d400198dd209b8bc6ec2a.jpg,0,Апельсин,1,Бананы,0.49,False
train/train\Картофель\3953590\e9e7777a3ea7462fa6c44ce24724e1ec.jpg,5,Картофель,8,Лук,0.4236,False
