filepath,true_label,true_class,pred_label,pred_class,max_prob,correct
train/train\Картофель\3953590\47a42f9866df4488b1966d8b6657f8dc.jpg,5,Картофель,8,Лук,0.991,False
train/train\Морковь\2138999\4ada3e16f5c74237bf6aff006fa663a3.jpg,10,Морковь,8,Лук,0.9885,False
train/train\Мандарины\47642\091464b2d8a84b2ea4b025bb54a8f454.jpg,9,Мандарины,0,Апельсин,0.985,False
train/train\Яблоки красные\4271772\151509d29e6645efba38fdaee18999f5.jpg,14,Яблоки красные,8,Лук,0.9797,False
train/train\Картофель\3953590\e31c5961f641452c91b889410d6ef9a3.jpg,5,Картофель,8,Лук,0.9769,False
train/train\Томаты\4221768\c51af18ec1eb4bbf81354659e5814f28.jpg,12,Томаты,14,Яблоки красные,0.9748,False
train/train\Яблоки зелёные\48188\67c62fda657945f787148316de4beb38.jpg,13,Яблоки зелёные,1,Бананы,0.974,False
train/train\Груши\50911\ea5c2acd20394155b5e86d6cad66cc9f.jpg,2,Груши,13,Яблоки зелёные,0.9704,False
train/train\Томаты\4221768\40d9ce0f913a4b3abbd749ceac9508da.jpg,12,Томаты,14,Яблоки красные,0.963,False
train/train\Апельсин\60526\fe49a034452d412c9a93fddf29718f19.jpg,0,Апельсин,9,Мандарины,0.9628,False
train/train\Апельсин\60526\5c4b658b8799460db4b2076eaea5ef2d.jpg,0,Апельсин,9,Мандарины,0.9531,False
train/train\Апельсин\60526\4a040b207ac24a1785428402f461858f.jpg,0,Апельсин,9,Мандарины,0.9469,False
train/train\Апельсин\60619\9eabb9f7130e4f8ba800950850303c64.jpg,0,Апельсин,9,Мандарины,0.9348,False
train/train\Мандарины\47642\d4fcdbaaf14f4ffe876877c8ee99ad8f.jpg,9,Мандарины,0,Апельсин,0.9329,False
train/train\Картофель\3953590\097ab20587fa42ed80feecf8bb17310e.jpg,5,Картофель,10,Морковь,0.9258,False
train/train\Бананы\809\fe5fd97af9bd48dba6d366604f9231e3.jpg,1,Бананы,2,Груши,0.9185,False
train/train\Яблоки красные\807\789d54123d154792a2e5a16a392c7f2f.jpg,14,Яблоки красные,7,Лимон,0.9118,False
train/train\Апельсин\60526\0c81acafd97f4de3944dbdcecec05a1a.jpg,0,Апельсин,9,Мандарины,0.903,False
train/train\Лук\197\9f325a5224cc405da33b27ff8db6d531.jpg,8,Лук,2,Груши,0.8846,False
train/train\Яблоки красные\807\816a6b2dcb5d4d6fa35d223e31dd9615.jpg,14,Яблоки красные,13,Яблоки зелёные,0.8815,False
train/train\Томаты\202\db5fc020a9cd4e869d6c17377e75da06.jpg,12,Томаты,9,Мандарины,0.8762,False
train/train\Лук\18387\dc98f330c402429ca2337aee24ad8284.jpg,8,Лук,14,Яблоки красные,0.8733,False
train/train\Картофель\3953590\8bbab3b107bc46e18ad3a53c8cd11ee8.jpg,5,Картофель,10,Морковь,0.8724,False
train/train\Картофель\3953590\2ce444c9e60c44d3b8e40a706306aaad.jpg,5,Картофель,6,Киви,0.8716,False
train/train\Яблоки красные\807\dd9e7ce4ee404eb1be716a4c42b62391.jpg,14,Яблоки красные,10,Морковь,0.8689,False
train/train\Картофель\3953590\038d045789c44017a967e59bbdcc8c9a.jpg,5,Картофель,10,Морковь,0.8688,False
train/train\Яблоки красные\807\df7481050d7c4a3786443146a3ec4f80.jpg,14,Яблоки красные,13,Яблоки зелёные,0.8613,False
train/train\Кабачки\3965\2cb46981e09645bbb6b3bf93682862eb.jpg,3,Кабачки,13,Яблоки зелёные,0.8472,False
train/train\Картофель\3953590\2d3f8f9eaf8d4092bf7ce328f9e507ec.jpg,5,Картофель,10,Морковь,0.8426,False
train/train\Апельсин\60526\ba7e803ace964e9b99634cf9ee1c9a78.jpg,0,Апельсин,9,Мандарины,0.8149,False
train/train\Лук\18387\2f0dcf765bd54b18abbc2f9307e5627d.jpg,8,Лук,5,Картофель,0.8121,False
train/train\Лук\18387\0325e63760ea48098fb01594f56cf681.jpg,8,Лук,5,Картофель,0.8072,False
train/train\Мандарины\47642\6cc06c7be84b4b76877f10e5cb1658d5.jpg,9,Мандарины,8,Лук,0.805,False
train/train\Мандарины\47642\513c5c53fa5d47eb99039be7c7971340.jpg,9,Мандарины,0,Апельсин,0.8042,False
train/train\Капуста\198\0541cb0f44b04a8a94433fc8434927a7.jpg,4,Капуста,13,Яблоки зелёные,0.7932,False
train/train\Груши\50911\49fc3c38a2374687a0b966887ba1ed7b.jpg,2,Груши,11,Огурцы,0.7801,False
train/train\Яблоки красные\807\5025223d297a418b9be85e469b4e9cfa.jpg,14,Яблоки красные,8,Лук,0.7775,False
train/train\Яблоки красные\807\b0f7eed1f37f437dad9182e42c36dbe5.jpg,14,Яблоки красные,8,Лук,0.7739,False
train/train\Яблоки красные\48637\1d7cb39ed3e340f98ddcd8c7804bf553.jpg,14,Яблоки красные,9,Мандарины,0.7337,False
train/train\Лук\197\88dec23de0f04c7298e859ea9d52c766.jpg,8,Лук,10,Морковь,0.7325,False
train/train\Яблоки красные\807\1abcf73875904c10b97f9cf162bc1c99.jpg,14,Яблоки красные,7,Лимон,0.7016,False
train/train\Мандарины\47642\8f0629d36fc043cb87f108ec0ca82ae8.jpg,9,Мандарины,0,Апельсин,0.7,False
train/train\Яблоки красные\4271772\6e31f30ec00a4f9da62368a65b417f7c.jpg,14,Яблоки красные,10,Морковь,0.6961,False
train/train\Яблоки красные\807\dd77249cb8d64754b11bc9b8422a5a6f.jpg,14,Яблоки красные,13,Яблоки зелёные,0.6949,False
train/train\Киви\78647\c9a62599e7e5455e81c61384f8626b62.jpg,6,Киви,10,Морковь,0.6913,False
train/train\Картофель\3953590\1cd817e674904355bf8d6eaa3c453fdb.jpg,5,Картофель,11,Огурцы,0.6844,False
train/train\Яблоки зелёные\48188\d2050e5b8f464c1ca2d316c117efef52.jpg,13,Яблоки зелёные,14,Яблоки красные,0.6411,False
train/train\Томаты\4221768\1e5ca49d3ea3418085dd498d0a76781d.jpg,12,Томаты,14,Яблоки красные,0.639,False
train/train\Яблоки красные\807\decdf6b3b88942f6a0de7189a8dae657.jpg,14,Яблоки красные,5,Картофель,0.6156,False
train/train\Лук\197\8643867638404f23bd2b17ba8af94612.jpg,8,Лук,10,Морковь,0.6151,False
train/train\Мандарины\47642\060889def10b47adbef11243712ab0da.jpg,9,Мандарины,12,Томаты,0.5991,False
train/train\Томаты\4221768\253a8828a20a4963bd904c555dda32e6.jpg,12,Томаты,14,Яблоки красные,0.5782,False
train/train\Яблоки красные\807\333cf7cfbf1d4b2992cf6e7932336918.jpg,14,Яблоки красные,13,Яблоки зелёные,0.5764,False
train/train\Яблоки красные\807\c70dec9397284ab6b92557a8936b89d6.jpg,14,Яблоки красные,12,Томаты,0.5647,False
train/train\Киви\78647\8303f8190e134fb2a97eaf8d94f1e1a0.jpg,6,Киви,10,Морковь,0.5571,False
train/train\Мандарины\47642\6ce73e2f4af749f0bf39595910d75950.jpg,9,Мандарины,0,Апельсин,0.553,False
train/train\Кабачки\3965\1f8925729cf94ff9808c9f80731c9d70.jpg,3,Кабачки,13,Яблоки зелёные,0.5061,False
train/train\Томаты\202\dfab57d57d904ce0b8b46fb296846412.jpg,12,Томаты,14,Яблоки красные,0.4989,False
train/train\Бананы\809\dc2d2665d5ec439b8f92754949b1bd29.jpg,1,Бананы,3,Кабачки,0.4903,False
train/train\Лук\197\615d6ed5f7ce481da564d7bacf00ea4f.jpg,8,Лук,6,Киви,0.48,False
train/train\Яблоки зелёные\48188\005d0d504f9341b88b8e6087963f6c05.jpg,13,Яблоки зелёные,7,Лимон,0.4794,False
train/train\Лимон\3294954\2a43e1353bb54f5d8cde6a3e8ac7dc99.jpg,7,Лимон,1,Бананы,0.4706,False
train/train\Груши\57165\c819e4cfcc704ed5b06f27a9273b31dd.jpg,2,Груши,13,Яблоки зелёные,0.3322,False
train/train\Киви\78647\763370de6f3c42b7a156d5494454dbce.jpg,6,Киви,5,Картофель,0.3258,False
train/train\Лук\197\d19c44aadd0645c391dbc5b435e21b94.jpg,8,Лук,14,Яблоки красные,0.319,False
